Folds number,Fold,Random State,Dropout probability,Activation function,Learning Rate,Epochs,Layers number,Hidden Size,RMSE
5,1,100,0.5,Tanh,0.01,200,4,256,26.023296
5,1,100,0.5,Sigmoid,0.01,200,4,256,16.734703
5,1,100,0.5,Softmax,0.01,200,4,256,36.39228
5,1,100,0.5,GELU,0.01,200,4,256,10.179489
5,1,100,0.5,ReLU,0.02,100,1,16,5.8962655
5,1,100,0.5,Tanh,0.02,100,1,16,20.063896
5,1,100,0.5,Sigmoid,0.02,100,1,16,22.068392
5,1,100,0.5,Softmax,0.02,100,1,16,36.172005
5,1,100,0.5,GELU,0.02,100,1,16,4.7932434
5,1,100,0.5,ReLU,0.02,100,2,16,6.8155613
5,1,100,0.5,Tanh,0.02,100,2,16,19.819157
5,1,100,0.5,Sigmoid,0.02,100,2,16,21.955154
5,1,100,0.5,Softmax,0.02,100,2,16,36.430183
5,1,100,0.5,GELU,0.02,100,2,16,6.9150825
5,1,100,0.5,ReLU,0.02,100,3,16,8.304914
5,1,100,0.5,Tanh,0.02,100,3,16,20.04613
5,1,100,0.5,Sigmoid,0.02,100,3,16,21.38398
5,1,100,0.5,Softmax,0.02,100,3,16,36.448547
5,1,100,0.5,GELU,0.02,100,3,16,9.066215
5,1,100,0.5,ReLU,0.02,100,4,16,13.755991
5,1,100,0.5,Tanh,0.02,100,4,16,19.805555
5,1,100,0.5,Sigmoid,0.02,100,4,16,21.73653
5,1,100,0.5,Softmax,0.02,100,4,16,36.153618
5,1,100,0.5,GELU,0.02,100,4,16,7.9585347
5,1,100,0.5,ReLU,0.02,100,1,32,3.6067548
5,1,100,0.5,Tanh,0.02,100,1,32,17.026861
5,1,100,0.5,Sigmoid,0.02,100,1,32,16.744024
5,1,100,0.5,Softmax,0.02,100,1,32,36.477882
5,1,100,0.5,GELU,0.02,100,1,32,2.1931896
5,1,100,0.5,ReLU,0.02,100,2,32,4.6257443
5,1,100,0.5,Tanh,0.02,100,2,32,17.73785
5,1,100,0.5,Sigmoid,0.02,100,2,32,16.78198
5,1,100,0.5,Softmax,0.02,100,2,32,36.400513
5,1,100,0.5,GELU,0.02,100,2,32,4.0475593
5,1,100,0.5,ReLU,0.02,100,3,32,9.345878
5,1,100,0.5,Tanh,0.02,100,3,32,17.647448
5,1,100,0.5,Sigmoid,0.02,100,3,32,16.81239
5,1,100,0.5,Softmax,0.02,100,3,32,36.229572
5,1,100,0.5,GELU,0.02,100,3,32,7.373964
5,1,100,0.5,ReLU,0.02,100,4,32,11.569969
5,1,100,0.5,Tanh,0.02,100,4,32,17.754263
5,1,100,0.5,Sigmoid,0.02,100,4,32,16.79969
5,1,100,0.5,Softmax,0.02,100,4,32,36.45519
5,1,100,0.5,GELU,0.02,100,4,32,4.815202
5,1,100,0.5,ReLU,0.02,100,1,64,1.1182531
5,1,100,0.5,Tanh,0.02,100,1,64,15.017282
5,1,100,0.5,Sigmoid,0.02,100,1,64,16.327753
5,1,100,0.5,Softmax,0.02,100,1,64,36.402042
5,1,100,0.5,GELU,0.02,100,1,64,1.3944238
5,1,100,0.5,ReLU,0.02,100,2,64,0.3480828
5,1,100,0.5,Tanh,0.02,100,2,64,25.350101
5,1,100,0.5,Sigmoid,0.02,100,2,64,16.767803
5,1,100,0.5,Softmax,0.02,100,2,64,36.28326
5,1,100,0.5,GELU,0.02,100,2,64,2.2693543
5,1,100,0.5,ReLU,0.02,100,3,64,8.457368
5,1,100,0.5,Tanh,0.02,100,3,64,25.395172
5,1,100,0.5,Sigmoid,0.02,100,3,64,16.76859
5,1,100,0.5,Softmax,0.02,100,3,64,36.22821
5,1,100,0.5,GELU,0.02,100,3,64,2.7802083
5,1,100,0.5,ReLU,0.02,100,4,64,4.7279973
5,1,100,0.5,Tanh,0.02,100,4,64,25.369284
5,1,100,0.5,Sigmoid,0.02,100,4,64,16.771599
5,1,100,0.5,Softmax,0.02,100,4,64,36.438572
5,1,100,0.5,GELU,0.02,100,4,64,3.8379676
5,1,100,0.5,ReLU,0.02,100,1,128,0.5981365
5,1,100,0.5,Tanh,0.02,100,1,128,20.301947
5,1,100,0.5,Sigmoid,0.02,100,1,128,16.544548
5,1,100,0.5,Softmax,0.02,100,1,128,36.362
5,1,100,0.5,GELU,0.02,100,1,128,0.9562104
5,1,100,0.5,ReLU,0.02,100,2,128,2.2277377
5,1,100,0.5,Tanh,0.02,100,2,128,25.58503
5,1,100,0.5,Sigmoid,0.02,100,2,128,16.74402
5,1,100,0.5,Softmax,0.02,100,2,128,36.3131
5,1,100,0.5,GELU,0.02,100,2,128,1.7085094
5,1,100,0.5,ReLU,0.02,100,3,128,2.0783553
5,1,100,0.5,Tanh,0.02,100,3,128,25.579369
5,1,100,0.5,Sigmoid,0.02,100,3,128,16.748913
5,1,100,0.5,Softmax,0.02,100,3,128,36.27803
5,1,100,0.5,GELU,0.02,100,3,128,2.5851204
5,1,100,0.5,ReLU,0.02,100,4,128,36.772213
5,1,100,0.5,Tanh,0.02,100,4,128,25.550879
5,1,100,0.5,Sigmoid,0.02,100,4,128,16.757332
5,1,100,0.5,Softmax,0.02,100,4,128,36.265106
5,1,100,0.5,GELU,0.02,100,4,128,2.688287
5,1,100,0.5,ReLU,0.02,100,1,256,0.51977074
5,1,100,0.5,Tanh,0.02,100,1,256,22.406424
5,1,100,0.5,Sigmoid,0.02,100,1,256,16.661217
5,1,100,0.5,Softmax,0.02,100,1,256,36.370667
5,1,100,0.5,GELU,0.02,100,1,256,0.3605991
5,1,100,0.5,ReLU,0.02,100,2,256,1.3016213
5,1,100,0.5,Tanh,0.02,100,2,256,22.565866
5,1,100,0.5,Sigmoid,0.02,100,2,256,16.738039
5,1,100,0.5,Softmax,0.02,100,2,256,36.3065
5,1,100,0.5,GELU,0.02,100,2,256,1.6944075
5,1,100,0.5,ReLU,0.02,100,3,256,18.625778
5,1,100,0.5,Tanh,0.02,100,3,256,25.992842
5,1,100,0.5,Sigmoid,0.02,100,3,256,16.740335
5,1,100,0.5,Softmax,0.02,100,3,256,36.32101
5,1,100,0.5,GELU,0.02,100,3,256,7.2265787
5,1,100,0.5,ReLU,0.02,100,4,256,20.392439
5,1,100,0.5,Tanh,0.02,100,4,256,21.616882
5,1,100,0.5,Sigmoid,0.02,100,4,256,16.735502
5,1,100,0.5,Softmax,0.02,100,4,256,36.28294
5,1,100,0.5,GELU,0.02,100,4,256,8.017296
5,1,100,0.5,ReLU,0.02,150,1,16,3.8982615
5,1,100,0.5,Tanh,0.02,150,1,16,14.084594
5,1,100,0.5,Sigmoid,0.02,150,1,16,17.781185
5,1,100,0.5,Softmax,0.02,150,1,16,34.638096
5,1,100,0.5,GELU,0.02,150,1,16,4.401933
